mode,distance_km,passengers,occupancy,traffic_index,temperature_c,rain_index,weekend,co2e_kg
Bicycle,25.987,1,116.13,0.829,14.12,0.238,1,0.00207
Bus,8.138,1,28.86,0.102,18.1,0.666,0,0.47723
Bicycle,19.875,1,116.4,0.079,13.09,0.969,0,0.00124
Bus,4.58,1,9.48,0.798,35.99,0.237,1,0.8599
Bus,1.805,1,31.12,0.231,28.48,0.659,0,0.09116
Walking,9.437,1,124.8,0.744,26.78,0.593,1,0.0
Metro,10.867,1,118.87,0.28,13.83,0.212,1,0.45212
Motorcycle,13.591,1,115.55,0.88,34.69,0.992,1,1.83283
Car,7.884,5,5.0,0.863,33.77,0.776,1,0.37256
Walking,7.991,1,91.77,0.88,36.28,0.721,1,0.0
Walking,17.703,1,126.14,0.09,27.04,0.39,0,0.00181
Car,26.117,3,3.0,0.179,14.12,0.147,1,1.78537
Motorcycle,5.654,1,133.85,0.797,39.3,0.391,1,0.68427
Motorcycle,15.039,1,117.85,0.882,38.7,0.253,0,1.78296
Metro,11.349,1,107.5,0.068,24.19,0.09,0,0.52474
Bus,15.491,1,2.0,0.774,10.68,0.304,0,14.60684
Car,10.887,4,4.0,0.937,29.03,0.025,0,0.63329
Bus,8.003,1,19.77,0.036,33.51,0.706,1,0.73266
Bicycle,12.114,1,115.5,0.303,19.58,0.175,0,0.0
Motorcycle,7.254,1,125.13,0.239,22.2,0.814,1,0.78477
Bus,3.58,1,27.62,0.406,22.94,0.264,1,0.22328
Metro,6.757,1,115.43,0.747,10.21,0.344,1,0.28213
Bus,25.06,1,18.45,0.351,28.32,0.281,0,2.4409
Car,16.5,5,5.0,0.018,23.12,0.934,0,0.67097
Motorcycle,9.206,1,113.05,0.053,31.7,0.449,0,1.00246
Motorcycle,10.328,1,109.59,0.475,21.16,0.673,0,1.22548
Metro,1.037,1,119.98,0.706,26.72,0.369,0,0.0377
Walking,22.367,1,114.48,0.866,21.71,0.827,1,0.0
Car,12.463,2,2.0,0.919,31.51,0.625,1,1.50964
Metro,8.815,1,106.56,0.749,18.43,0.977,0,0.40893
Car,9.788,5,5.0,0.365,22.85,0.933,0,0.4475
Motorcycle,3.052,1,107.47,0.246,24.67,0.03,0,0.33228
Bicycle,22.324,1,123.65,0.032,23.46,0.684,1,0.0
Car,21.355,2,2.0,0.651,21.76,0.711,1,2.37818
Bicycle,31.921,1,124.25,0.723,25.72,0.761,0,0.0
Bicycle,2.65,1,123.36,0.398,36.63,0.462,0,0.00204
Motorcycle,16.471,1,125.48,0.111,14.18,0.365,1,1.70343
Metro,2.189,1,116.69,0.992,21.79,0.089,0,0.08654
Metro,17.552,1,128.82,0.637,39.85,0.033,0,0.69929
Walking,14.153,1,115.8,0.195,28.09,0.359,0,0.0
Metro,3.701,1,123.69,0.664,30.31,0.741,1,0.16118
Car,18.552,5,5.0,0.467,20.82,0.117,0,0.7981
Walking,4.295,1,109.2,0.527,22.73,0.662,0,0.0
Walking,27.206,1,134.36,0.388,26.7,0.97,0,0.0
Walking,16.684,1,125.69,0.729,16.05,0.449,1,0.013
Walking,5.053,1,107.79,0.475,23.01,0.846,0,0.0019
Car,1.387,3,3.0,0.609,38.8,0.872,1,0.10991
Bus,20.491,1,22.56,0.282,29.49,0.094,0,1.57687
Bicycle,18.557,1,110.65,0.496,28.76,0.316,1,0.0
Car,18.499,1,1.0,0.05,31.54,0.238,1,3.43454
Car,24.112,2,2.0,0.35,25.66,0.972,1,2.55074
Bus,29.861,1,15.06,0.408,19.76,0.866,0,3.46465
Bicycle,18.209,1,106.63,0.125,14.88,0.303,0,0.0
Motorcycle,8.78,1,119.34,0.998,24.63,0.495,1,1.10773
Bicycle,13.212,1,122.58,0.984,32.61,0.985,0,0.01646
Bicycle,10.718,1,103.91,0.293,25.61,0.258,1,0.00207
Bus,13.275,1,12.76,0.499,14.88,0.962,1,1.7806
Bus,7.253,1,18.06,0.416,17.37,0.745,0,0.73045
Walking,11.062,1,120.81,0.744,39.44,0.993,0,0.0
Bicycle,0.572,1,132.44,0.687,11.47,0.826,1,0.0
Walking,7.516,1,114.98,0.793,27.91,0.909,1,0.00439
Car,21.574,1,1.0,0.961,18.86,0.494,1,5.09179
Walking,25.17,1,126.11,0.624,34.86,0.242,0,0.0
Metro,15.089,1,110.77,0.539,37.0,0.392,1,0.69024
Bus,13.751,1,7.63,0.151,31.43,0.47,1,3.10458
Bus,33.572,1,17.04,0.922,28.64,0.601,1,3.919
Bicycle,6.036,1,127.24,0.95,39.76,0.476,1,0.00823
Motorcycle,14.425,1,115.39,0.405,12.39,0.405,0,1.61945
Bicycle,5.661,1,117.74,0.101,38.02,0.652,1,0.0
Motorcycle,2.047,1,110.34,0.013,23.96,0.844,1,0.21659
Metro,8.406,1,116.42,0.254,27.14,0.172,0,0.34578
Bus,5.219,1,22.12,0.74,18.47,0.136,1,0.44464
Walking,14.289,1,127.47,0.051,28.04,0.624,0,0.00414
Walking,5.248,1,104.23,0.421,26.45,0.579,0,0.00409
Motorcycle,10.022,1,127.62,0.63,27.31,0.4,0,1.21328
Walking,8.986,1,119.17,0.347,31.81,0.686,1,0.00964
Bicycle,13.296,1,124.77,0.279,23.41,0.631,1,0.00248
Car,8.972,4,4.0,0.817,32.95,0.771,0,0.54945
Walking,6.253,1,114.13,0.217,39.96,0.175,0,0.00469
Bus,4.985,1,27.06,0.928,24.35,0.515,1,0.35541
Walking,40.13,1,119.51,0.845,26.59,0.211,0,0.0
Bicycle,20.34,1,113.81,0.668,29.94,0.662,0,0.00876
Metro,6.697,1,109.59,0.127,31.06,0.646,1,0.3179
Bus,4.102,1,20.05,0.737,25.83,0.976,0,0.39466
Car,4.688,2,2.0,0.781,14.14,0.441,1,0.54773
Bus,2.892,1,6.61,0.455,33.16,0.556,1,0.7795
Metro,11.914,1,118.13,0.948,31.17,0.299,1,0.47623
Bus,13.871,1,33.79,0.348,38.27,0.251,0,0.73266
Bus,9.076,1,12.05,0.179,27.6,0.973,1,1.32212
Bus,8.617,1,28.38,0.236,16.04,0.621,0,0.53903
Metro,4.766,1,119.49,0.082,20.95,0.975,0,0.20195
Walking,25.01,1,138.82,0.358,39.97,0.638,1,0.0
Walking,9.723,1,113.26,0.905,21.9,0.947,0,0.0
Bus,2.09,1,7.85,0.108,39.31,0.212,1,0.46252
Bicycle,9.941,1,126.11,0.626,27.11,0.186,1,0.0
Car,3.94,1,1.0,0.25,34.22,0.176,1,0.79972
Walking,4.686,1,119.47,0.916,28.83,0.032,1,0.0
Metro,3.251,1,113.58,0.816,17.87,0.541,0,0.13553
Metro,6.544,1,100.83,0.857,17.07,0.707,0,0.34358
Car,28.734,3,3.0,0.598,18.25,0.674,1,2.08957
Bus,7.118,1,2.51,0.629,13.09,0.146,1,5.20298
Bicycle,11.551,1,114.72,0.675,14.21,0.057,0,7e-05
Bicycle,6.324,1,123.32,0.076,28.97,0.12,1,0.0
Bus,3.459,1,13.96,0.145,30.47,0.12,0,0.40228
Motorcycle,2.326,1,130.69,0.81,35.62,0.326,1,0.28198
Walking,11.687,1,123.18,0.913,29.12,0.493,1,0.00251
Bicycle,14.881,1,120.87,0.195,30.71,0.392,0,0.0
Metro,9.771,1,141.43,0.366,38.29,0.695,1,0.34148
Bus,4.6,1,17.86,0.595,31.73,0.168,0,0.47584
Bus,1.795,1,5.45,0.225,20.83,0.949,1,0.5902
Walking,2.562,1,111.99,0.645,10.73,0.571,1,0.01061
Metro,14.148,1,117.39,0.895,13.03,0.863,1,0.63481
Metro,10.201,1,109.61,0.85,34.03,0.163,0,0.44218
Car,5.435,3,3.0,0.396,20.83,0.76,1,0.37507
Motorcycle,3.851,1,130.45,0.996,37.71,0.871,1,0.48908
Motorcycle,4.945,1,117.7,0.109,27.72,0.701,0,0.53481
Bus,15.446,1,31.04,0.29,14.23,0.005,0,0.8036
Walking,31.202,1,108.75,0.186,32.07,0.058,1,0.00169
Metro,21.366,1,117.86,0.22,11.94,0.115,0,0.88367
Walking,6.322,1,121.04,0.924,33.69,0.613,1,0.0037
Bicycle,3.751,1,119.89,0.488,17.94,0.086,1,0.0
Walking,4.181,1,113.96,0.805,17.21,0.251,0,0.0
Metro,8.975,1,128.85,0.176,12.31,0.59,1,0.33723
Car,11.045,1,1.0,0.643,34.1,0.793,1,2.55471
Walking,19.176,1,115.97,0.892,19.63,0.02,1,0.0
Metro,1.342,1,132.88,0.883,11.13,0.737,0,0.05373
Walking,6.236,1,114.94,0.693,12.55,0.374,0,0.0
Car,7.16,4,4.0,0.108,13.55,0.657,1,0.372
Bicycle,5.946,1,116.68,0.224,25.51,0.638,0,5e-05
Motorcycle,3.43,1,103.27,0.121,11.05,0.045,1,0.33846
Motorcycle,8.55,1,127.65,0.404,11.46,0.608,0,1.02763
Bicycle,4.249,1,126.02,0.057,23.22,0.768,1,0.0
Motorcycle,10.694,1,114.7,0.174,10.8,0.005,1,1.13705
Bus,27.515,1,14.22,0.449,21.58,0.046,1,3.3982
Walking,19.254,1,128.9,0.711,35.49,0.009,1,0.00664
Motorcycle,17.32,1,130.25,0.212,15.54,0.639,1,1.95023
Motorcycle,6.649,1,120.44,0.036,17.62,0.698,1,0.72329
Bus,22.213,1,23.86,0.613,25.56,0.5,0,1.72455
Car,5.438,4,4.0,0.424,10.02,0.786,0,0.29085
Walking,17.319,1,107.98,0.358,34.85,0.862,1,0.00547
Motorcycle,27.874,1,121.98,0.346,16.76,0.866,0,2.99456
Metro,18.054,1,129.92,0.504,10.32,0.898,1,0.67118
Walking,12.442,1,127.63,0.921,16.76,0.202,1,0.0
Walking,51.087,1,115.56,0.788,19.57,0.859,1,0.0137
Metro,9.6,1,129.16,0.305,26.93,0.413,1,0.33955
Bicycle,22.017,1,128.34,0.041,12.87,0.972,1,0.00398
Bicycle,19.265,1,133.75,0.681,24.98,0.205,0,0.0
Car,12.358,2,2.0,0.767,31.18,0.903,1,1.47755
Motorcycle,3.501,1,125.18,0.819,17.23,0.632,0,0.43625
Metro,24.041,1,103.61,0.68,24.3,0.745,0,1.19078
Car,3.399,4,4.0,0.143,39.29,0.015,0,0.16665
Car,49.505,2,2.0,0.533,31.68,0.094,1,5.08918
Walking,11.959,1,127.21,0.84,13.16,0.126,0,0.0
Motorcycle,26.435,1,125.16,0.959,34.96,0.814,1,3.59626
Bus,14.621,1,2.0,0.14,20.68,0.447,0,12.24159
Motorcycle,0.569,1,104.93,0.711,16.08,0.037,1,0.06488
Motorcycle,12.194,1,124.98,0.319,31.75,0.509,0,1.38886
Car,6.119,5,5.0,0.792,17.96,0.725,1,0.28979
Walking,16.85,1,105.71,0.129,37.77,0.162,0,0.0002
Motorcycle,3.463,1,109.27,0.111,39.98,0.942,1,0.38953
Walking,7.646,1,121.82,0.499,28.71,0.659,1,0.0
Bicycle,11.176,1,123.52,0.705,10.04,0.023,0,0.0
Bicycle,3.194,1,120.71,0.388,32.08,0.972,0,0.0
Car,7.62,3,3.0,0.572,37.73,0.396,0,0.53249
Walking,6.105,1,120.59,0.311,34.0,0.169,1,0.0054
Bicycle,5.875,1,130.53,0.515,16.76,0.132,0,0.0
Walking,6.585,1,123.98,0.162,24.91,0.667,1,0.00214
Car,11.445,2,2.0,0.036,39.11,0.14,1,1.0399
Bus,13.675,1,11.7,0.652,18.54,0.327,1,2.21255
Bus,4.257,1,10.82,0.326,35.82,0.011,1,0.65763
Metro,14.25,1,115.42,0.074,16.73,0.09,1,0.60772
Bus,6.25,1,22.86,0.124,21.49,0.88,0,0.49585
Bus,3.184,1,26.61,0.736,30.44,0.362,0,0.21019
Walking,22.601,1,118.04,0.519,37.62,0.008,0,0.00443
Bus,4.537,1,20.1,0.044,20.2,0.351,0,0.39768
Motorcycle,15.167,1,126.07,0.146,26.82,0.375,0,1.65116
Car,15.914,1,1.0,0.826,36.78,0.147,0,3.67591
Metro,8.843,1,124.55,0.687,12.67,0.732,0,0.34815
Motorcycle,1.133,1,129.35,0.049,11.34,0.089,1,0.12871
Metro,0.5,1,125.09,0.119,19.14,0.471,1,0.01691
Car,16.004,5,5.0,0.809,29.54,0.769,1,0.73962
Metro,22.941,1,118.65,0.206,17.74,0.358,0,0.94692
Bus,10.112,1,7.75,0.562,30.81,0.0,0,2.39368
Car,17.473,4,4.0,0.663,31.22,0.74,0,0.97654
Bicycle,16.439,1,132.96,0.528,32.88,0.335,1,0.00176
Motorcycle,18.614,1,117.72,0.3,10.1,0.236,1,1.94735
Bus,17.205,1,16.45,0.038,37.92,0.79,0,1.77878
Walking,18.669,1,118.42,0.888,22.32,0.376,1,0.01249
Walking,6.724,1,107.27,0.301,22.73,0.473,0,0.00551
Motorcycle,35.302,1,107.04,0.604,20.62,0.188,0,4.28049
Car,26.727,5,5.0,0.671,35.33,0.438,1,1.12865
Metro,14.692,1,118.47,0.499,13.77,0.305,0,0.61056
Metro,3.456,1,123.14,0.739,22.72,0.583,1,0.11597
Bicycle,2.991,1,125.51,0.869,28.15,0.508,0,0.02358
Motorcycle,11.325,1,105.99,0.572,39.97,0.712,1,1.4179
Bus,11.316,1,16.25,0.807,25.78,0.224,0,1.24479
Bus,9.749,1,10.61,0.371,36.66,0.388,0,1.59268
Bicycle,10.87,1,117.14,0.604,37.89,0.31,1,0.0
Bus,2.008,1,2.76,0.392,35.14,0.545,1,1.32375
Metro,4.11,1,114.21,0.56,32.28,0.472,0,0.17216
Bicycle,13.72,1,117.07,0.193,30.39,0.077,0,0.0
Walking,16.301,1,131.04,0.235,10.59,0.111,1,0.0
Motorcycle,13.91,1,119.48,0.522,10.45,0.682,1,1.68865
Bicycle,7.29,1,115.23,0.635,28.04,0.143,0,0.0045
Metro,19.998,1,126.14,0.647,23.22,0.054,1,0.78774
Metro,18.563,1,114.26,0.506,27.54,0.21,1,0.77239
Walking,8.746,1,117.25,0.13,25.55,0.31,1,0.0
Walking,1.183,1,116.25,0.172,15.63,0.424,0,0.0
Walking,12.971,1,116.1,0.426,28.33,0.004,1,0.0
Metro,46.768,1,123.6,0.913,37.54,0.421,0,1.82334
Metro,4.902,1,128.29,0.036,35.44,0.084,0,0.17995
Walking,28.192,1,118.69,0.198,21.16,0.78,0,0.00363
Bus,7.058,1,3.3,0.662,10.49,0.705,0,4.04218
Metro,9.89,1,123.48,0.255,17.07,0.573,1,0.3977
Bicycle,10.875,1,128.1,0.434,15.91,0.896,1,0.01207
Motorcycle,16.978,1,118.38,0.635,13.86,0.069,0,1.83545
Motorcycle,9.681,1,125.37,0.439,37.01,0.869,1,1.1764
Motorcycle,13.402,1,136.0,0.052,15.13,0.617,1,1.47382
Metro,2.837,1,117.85,0.782,26.48,0.783,1,0.12479
Car,7.345,3,3.0,0.062,29.6,0.595,0,0.4807
Walking,7.905,1,115.29,0.652,13.28,0.509,0,0.00494
Bicycle,8.114,1,124.49,0.348,30.7,0.776,0,0.00584
Metro,7.643,1,113.55,0.773,17.29,0.843,0,0.32425
Metro,7.805,1,115.78,0.214,37.84,0.031,0,0.32411
Bicycle,8.437,1,111.96,0.843,20.09,0.519,0,0.00402
Bicycle,10.003,1,126.65,0.831,19.74,0.934,0,0.0
Metro,5.574,1,126.65,0.678,33.21,0.421,0,0.21081
Motorcycle,5.812,1,119.34,0.469,22.93,0.684,0,0.65234
Metro,8.968,1,112.2,0.808,28.49,0.428,0,0.36808
Bicycle,2.003,1,114.93,0.898,31.93,0.76,0,0.0
Walking,20.088,1,104.84,0.934,38.47,0.768,1,0.01682
Motorcycle,10.597,1,132.74,0.378,19.06,0.677,0,1.19849
Walking,37.029,1,122.2,0.578,24.9,0.683,1,0.0
Motorcycle,33.07,1,116.39,0.298,39.7,0.634,0,3.84078
Metro,18.743,1,124.45,0.309,30.94,0.833,1,0.75082
Bicycle,10.792,1,107.44,0.816,17.96,0.231,1,0.0
Bicycle,23.588,1,128.24,0.268,30.94,0.759,1,0.01193
Bus,9.304,1,4.26,0.778,16.69,0.623,1,4.11893
Motorcycle,3.982,1,111.09,0.796,18.78,0.757,0,0.51412
Walking,20.291,1,128.16,0.428,24.96,0.831,1,0.0
Bicycle,4.613,1,124.96,0.873,24.41,0.986,1,0.00202
Walking,5.394,1,118.36,0.111,24.09,0.605,0,0.0
Walking,12.435,1,118.07,0.67,15.44,0.561,1,0.01336
Walking,14.116,1,128.32,0.435,24.93,0.176,0,0.0029
Metro,9.54,1,122.35,0.564,15.2,0.279,1,0.37922
Car,6.713,2,2.0,0.897,25.58,0.035,1,0.73981
Walking,11.147,1,131.08,0.39,31.64,0.378,1,0.0
Walking,15.344,1,117.4,0.516,24.9,0.836,1,0.00502
Bus,6.166,1,23.34,0.179,29.34,0.466,0,0.46941
Bicycle,6.685,1,123.99,0.686,16.44,0.823,0,0.0007
Car,3.701,2,2.0,0.801,33.88,0.033,0,0.41868
Motorcycle,16.17,1,108.46,0.886,24.3,0.744,0,2.14861
Bus,1.148,1,29.44,0.738,14.11,0.03,1,0.07427
Motorcycle,3.285,1,124.13,0.147,26.77,0.183,0,0.33975
Motorcycle,3.289,1,124.36,0.55,27.53,0.291,0,0.39354
Motorcycle,6.644,1,107.6,0.302,31.08,0.101,1,0.6742
Car,6.611,4,4.0,0.957,13.13,0.183,0,0.37421
Bicycle,11.368,1,116.36,0.611,23.0,0.76,0,0.00113
Car,17.233,2,2.0,0.079,20.35,0.711,1,1.69305
Car,8.003,1,1.0,0.805,16.43,0.906,0,1.84461
Bus,12.689,1,21.54,0.421,28.2,0.725,0,1.07465
Motorcycle,9.543,1,127.79,0.493,21.73,0.762,0,1.12056
Motorcycle,23.983,1,124.05,0.052,30.85,0.973,0,2.77523
Walking,6.493,1,128.69,0.563,16.98,0.496,0,0.00966
Car,3.663,4,4.0,0.767,35.84,0.895,1,0.21137
Motorcycle,56.23,1,114.06,0.292,17.26,0.87,0,6.49983
Bus,22.867,1,19.3,0.023,13.12,0.162,1,1.92942
Motorcycle,2.119,1,126.65,0.678,10.71,0.809,1,0.26525
Walking,32.639,1,122.42,0.932,38.93,0.427,1,0.0
Metro,10.44,1,116.39,0.717,21.06,0.296,1,0.4216
Motorcycle,16.528,1,104.27,0.258,33.66,0.725,0,1.84581
Metro,33.594,1,125.76,0.66,37.88,0.474,1,1.25871
Bus,6.359,1,13.1,0.462,16.31,0.383,1,0.88341
Walking,11.167,1,134.72,0.948,26.65,0.492,0,0.01129
Walking,6.737,1,114.6,0.536,13.96,0.513,1,0.01014
Walking,13.068,1,121.27,0.913,22.0,0.608,0,0.00792
Motorcycle,21.623,1,112.28,0.338,18.16,0.151,1,2.3116
Car,3.902,3,3.0,0.26,36.88,0.609,1,0.2903
Metro,11.435,1,109.5,0.35,32.92,0.543,1,0.51831
Motorcycle,7.938,1,111.25,0.742,13.6,0.807,1,0.97474
Bicycle,9.8,1,133.28,0.67,18.66,0.975,0,0.0
Bicycle,15.013,1,122.89,0.431,38.04,0.965,1,0.00349
Metro,16.157,1,125.14,0.494,38.1,0.378,0,0.63889
Metro,7.005,1,123.95,0.518,23.67,0.553,1,0.29237
Bus,20.024,1,14.8,0.611,34.14,0.886,1,2.61999
Car,10.818,2,2.0,0.365,36.16,0.419,0,1.10473
Motorcycle,21.282,1,115.56,0.082,22.44,0.577,0,2.2851
Motorcycle,7.797,1,121.24,0.432,22.53,0.387,1,0.95226
Walking,4.208,1,111.52,0.315,12.49,0.52,0,0.0
Motorcycle,16.541,1,115.29,0.709,19.34,0.999,0,2.0332
Bicycle,4.067,1,116.59,0.237,30.34,0.375,0,0.0079
Car,13.784,3,3.0,0.433,35.77,0.094,0,0.94173
Walking,2.671,1,121.62,0.45,22.86,0.362,1,0.0
Bicycle,3.268,1,120.95,0.498,14.97,0.363,1,0.00352
Walking,11.347,1,129.51,0.077,38.63,0.315,1,0.0
Car,1.65,2,2.0,0.24,18.48,0.182,0,0.16427
Walking,6.872,1,123.45,0.479,15.12,0.327,0,0.0
Motorcycle,8.388,1,115.7,0.123,11.45,0.109,1,0.88794
Bicycle,11.359,1,120.07,0.2,11.06,0.906,0,0.0
Walking,8.811,1,113.6,0.25,37.94,0.828,1,0.00073
Metro,9.075,1,117.01,0.072,31.26,0.805,1,0.36544
Walking,9.343,1,112.9,0.921,27.99,0.227,1,0.0
Car,30.221,2,2.0,0.94,25.05,0.221,0,3.63261
Car,16.832,3,3.0,0.592,29.43,0.611,0,1.22982
Car,14.423,5,5.0,0.12,30.05,0.178,1,0.54579
Bus,10.581,1,2.5,0.129,28.49,0.774,0,7.55376
Bus,6.163,1,18.36,0.377,25.7,0.769,0,0.5554
Bus,3.05,1,30.69,0.248,18.8,0.718,1,0.16772
Bus,5.894,1,26.24,0.826,32.21,0.592,1,0.44928
Car,1.233,4,4.0,0.793,12.36,0.501,0,0.06101
Metro,4.429,1,134.99,0.25,25.86,0.463,0,0.17902
Bicycle,2.53,1,124.31,0.229,20.61,0.488,0,0.00673
Motorcycle,10.913,1,122.17,0.062,14.1,0.561,1,1.15833
Bicycle,5.148,1,123.34,0.958,16.11,0.063,1,0.0
Bus,10.495,1,27.06,0.092,28.13,0.502,1,0.69351
Car,18.139,4,4.0,0.434,16.86,0.835,1,0.9656
Walking,17.337,1,114.06,0.729,36.28,0.735,0,0.0
Motorcycle,4.188,1,127.66,0.775,27.33,0.26,1,0.50599
Metro,21.068,1,108.78,0.561,15.27,0.105,0,0.9962
Car,11.28,2,2.0,0.248,20.54,0.335,1,1.27418
Metro,12.721,1,123.26,0.044,34.9,0.962,1,0.51389
Metro,7.595,1,132.34,0.035,17.34,0.478,1,0.28579
Metro,20.789,1,125.98,0.196,30.9,0.517,0,0.79351
Bicycle,5.71,1,116.34,0.418,11.21,0.147,0,0.0
Bus,12.097,1,27.26,0.107,34.76,0.46,1,0.73059
Walking,10.402,1,126.58,0.801,28.95,0.813,0,0.0088
Motorcycle,10.028,1,113.14,0.065,36.94,0.301,0,1.04707
Metro,12.205,1,123.47,0.533,20.01,0.252,0,0.47191
Car,8.549,4,4.0,0.454,31.08,0.428,0,0.44022
Metro,28.548,1,117.74,0.978,33.6,0.573,1,1.18639
Motorcycle,29.008,1,113.94,0.372,25.39,0.188,0,3.19813
Motorcycle,20.638,1,123.18,0.749,33.06,0.509,0,2.4295
Bus,37.458,1,16.97,0.12,12.32,0.693,1,3.58162
Walking,3.104,1,120.45,0.035,31.63,0.848,0,0.00327
Bicycle,2.668,1,120.43,0.849,19.64,0.274,1,0.0
Bicycle,12.951,1,117.81,0.256,30.7,0.543,0,0.0
Metro,0.5,1,110.79,0.223,11.6,0.898,1,0.02172
Car,7.528,3,3.0,0.29,36.21,0.734,1,0.51517
Bus,3.808,1,20.45,0.341,11.17,0.082,0,0.32334
Car,15.837,4,4.0,0.846,28.71,0.624,1,0.96905
Walking,5.714,1,129.79,0.871,17.0,0.737,1,0.00312
Bicycle,8.801,1,107.89,0.363,10.48,0.988,0,0.0
Bus,8.156,1,10.03,0.613,36.57,0.302,0,1.42573
Bus,8.206,1,2.0,0.584,13.69,0.266,0,7.27222
Bus,21.588,1,27.04,0.405,11.65,0.861,1,1.4397
Metro,22.48,1,122.12,0.771,28.07,0.578,1,0.91978
Motorcycle,2.045,1,101.73,0.499,14.92,0.79,0,0.25165
Walking,6.587,1,131.55,0.363,30.87,0.589,1,0.01335
Bus,7.6,1,10.17,0.576,13.35,0.704,0,1.41434
Bicycle,2.245,1,107.42,0.849,26.32,0.441,0,0.00226
Bus,5.388,1,27.06,0.442,27.79,0.833,0,0.33502
Bicycle,14.171,1,115.53,0.334,16.57,0.664,0,0.00501
Motorcycle,11.649,1,118.96,0.866,39.17,0.776,0,1.5729
Walking,3.47,1,134.16,0.901,30.12,0.417,0,0.0
Walking,6.072,1,107.15,0.849,13.83,0.262,0,0.0
Metro,22.165,1,122.23,0.092,10.11,0.079,0,0.89531
Motorcycle,12.869,1,117.26,0.337,14.4,0.287,0,1.52753
Walking,20.713,1,125.24,0.822,19.04,0.209,1,0.0
Car,14.75,2,2.0,0.514,16.85,0.141,0,1.57099
Bus,6.943,1,12.73,0.971,31.84,0.077,0,0.9809
Bus,6.259,1,11.91,0.35,20.17,0.834,1,0.95921
Bus,3.015,1,27.36,0.599,20.04,0.655,1,0.19158
Car,6.341,1,1.0,0.388,31.64,0.655,0,1.32378
Metro,4.311,1,119.08,0.475,33.3,0.005,1,0.16151
Bus,20.442,1,4.55,0.404,23.55,0.868,0,7.90054
Car,1.447,5,5.0,0.269,27.88,0.656,1,0.07617
Motorcycle,3.079,1,123.9,0.846,31.96,0.531,0,0.36222
Bicycle,12.995,1,129.2,0.503,13.55,0.427,0,0.00788
Metro,17.464,1,101.66,0.054,12.86,0.351,1,0.86609
Walking,5.722,1,115.45,0.983,12.84,0.548,1,0.01215
Metro,8.547,1,131.31,0.692,31.01,0.181,0,0.32045
Walking,2.471,1,111.07,0.809,20.84,0.713,0,0.0
Metro,28.966,1,118.66,0.903,18.67,0.153,1,1.20616
Motorcycle,48.243,1,111.35,0.567,30.06,0.671,0,5.56291
Walking,13.074,1,124.02,0.474,12.08,0.148,0,0.00813
Walking,20.054,1,119.06,0.223,21.31,0.507,0,0.0
Bus,5.254,1,17.69,0.346,20.85,0.949,1,0.54273
Car,23.584,3,3.0,0.008,28.96,0.322,1,1.57153
Car,23.269,1,1.0,0.652,15.28,0.669,1,5.42264
Bicycle,22.909,1,116.11,0.764,22.28,0.703,1,0.0058
Bicycle,4.916,1,120.78,0.198,35.28,0.964,1,0.01009
Bus,23.714,1,22.46,0.644,17.12,0.047,1,1.95836
Bus,25.591,1,15.49,0.696,18.57,0.47,1,3.05724
Motorcycle,10.406,1,130.21,0.441,18.01,0.861,1,1.24804
Metro,11.75,1,121.69,0.857,29.06,0.535,0,0.51752
Bus,8.278,1,22.53,0.058,13.79,0.251,0,0.61342
Bus,2.191,1,24.34,0.546,28.51,0.532,0,0.20657
Walking,22.115,1,124.2,0.784,15.15,0.217,1,0.0
Car,19.483,4,4.0,0.377,33.77,0.039,1,0.98769
Bicycle,6.925,1,124.62,0.949,19.43,0.398,1,0.01856
Bicycle,13.818,1,128.74,0.153,27.97,0.798,0,0.0
Bicycle,2.444,1,119.27,0.952,13.04,0.423,0,0.0
Motorcycle,8.666,1,105.07,0.813,22.15,0.607,0,1.08107
Motorcycle,17.984,1,105.28,0.816,33.84,0.668,1,2.36661
Metro,14.369,1,110.27,0.349,21.77,0.748,0,0.65278
Car,6.238,5,5.0,0.14,29.06,0.887,0,0.25865
Metro,4.296,1,116.84,0.24,17.38,0.185,0,0.17785
Metro,20.636,1,118.12,0.855,23.3,0.083,0,0.85185
Walking,9.274,1,120.37,0.766,16.23,0.489,0,0.0
Motorcycle,3.371,1,104.85,0.721,18.88,0.518,0,0.41653
Motorcycle,25.45,1,129.0,0.104,17.21,0.074,1,2.6873
Bus,12.013,1,13.23,0.451,15.88,0.179,1,1.52256
Motorcycle,5.204,1,124.52,0.921,17.71,0.857,1,0.66869
Bus,14.491,1,12.78,0.819,28.52,0.518,1,2.15433
Bus,6.179,1,18.28,0.236,37.24,0.764,0,0.62165
Bus,6.416,1,13.26,0.391,11.62,0.999,0,0.91527
Walking,29.32,1,132.56,0.323,10.64,0.656,1,0.00292
Metro,2.487,1,121.54,0.195,28.77,0.77,0,0.09163
Car,18.609,2,2.0,0.722,27.34,0.07,1,2.11373
Metro,6.689,1,114.75,0.604,21.48,0.539,1,0.2789
Bus,8.697,1,13.11,0.923,26.73,0.358,1,1.30596
Walking,10.684,1,130.66,0.7,33.83,0.325,0,0.0
Metro,1.991,1,124.12,0.705,14.73,0.365,0,0.07577
Car,3.181,3,3.0,0.99,13.79,0.392,0,0.24948
Walking,4.093,1,117.63,0.767,28.85,0.153,0,0.00665
Car,10.292,4,4.0,0.392,24.87,0.39,0,0.54408
